,Almacenamiento interno,Descripcion,Direccion,Fecha,Marca,Precio,Pulgadas
255,16.0,"Móvil - Motorola Moto E4 Plus, 5.5"", HD, MediaTek MT6737, 3 GB RAM, 16 GB, 13 MP + 5 MP, 5000 mAh, Dorado",https://tiendas.mediamarkt.es/p/movil-motorola-moto-e4-plus-5.5-hd-2-gb-1367746#specifications,08/25/18 - 18:40:53,Motorola,179.0,5.5
256,32.0,"Móvil - Blackberry Keyone, 4,5'', 1620x1080, Snapdragon 625, Memoria 32GB, 3GB RAM, Red 4G, Cámaras 12MP + 8 MP, Vídeo 4K, Plata",https://tiendas.mediamarkt.es/p/movil-blackberry-keyone-4.5-1620x1080-1387930#specifications,08/25/18 - 18:40:54,Blackberry,599.0,4.5
257,128.0,"Móvil - OPPO R15 Pro, 6.28"", Full HD+, Qualcomm Snapdragon 660, 6 GB RAM, 128 GB, 16 MP + 20 MP, 20 MP, Rojo",https://tiendas.mediamarkt.es/p/movil-oppo-r15-pro-6.28-full-hd-plus-1426487#specifications,08/25/18 - 18:40:55,Oppo,649.0,6.28
258,32.0,"Pack móvil - BQ Aquaris X2, 5.65"", Full HD+, Snapdragon 636, 3 GB RAM, 32 GB, 4G, 12 MP, Huella dactilar, Blanco + Protector de pantalla BQ",https://tiendas.mediamarkt.es/p/pack-movil-bq-aquaris-x2-5.65-full-hd-plus-200007882#specifications,08/25/18 - 18:40:56,BQ,320.99,5.5
259,32.0,"Móvil - LG Q7, 5.5"", Full HD, MediaTek 6750S, 3 GB RAM, 16 MP + 8 MP, Negro",https://tiendas.mediamarkt.es/p/movil-lg-q7-5.5-full-hd-mediatek-6750s-3-1422408#specifications,08/25/18 - 18:40:58,LG,319.0,5.5
260,64.0,"Móvil - LG V30, 6"", OLED FullVision QHD+, 64 GB, Cámara dual 16 MP y 13MP, 3300 mAh, Plata",https://tiendas.mediamarkt.es/p/movil-lg-v30-plata-6-oled-fullvision-qhd-1389219#specifications,08/25/18 - 18:40:59,LG,699.0,6.0
261,32.0,"Móvil - Blu Vivo 5R, 5.5"" Full HD, Red 4G, 3 GB RAM, 32GB, 13Mpx+8Mpx, Gris",https://tiendas.mediamarkt.es/p/movil-blu-vivo-5r-5.5-full-hd-red-4g-3-gb-1389264#specifications,08/25/18 - 18:41:01,Blu,209.0,5.5
262,16.0,"Móvil - Motorola Moto E4 Plus, 5.5"", HD, MediaTek MT6737, 3 GB RAM, 16 GB, 13 MP + 5 MP, 5000 mAh, Gris",https://tiendas.mediamarkt.es/p/movil-motorola-moto-e4-plus-5.5-hd-2-gb-1367748#specifications,08/25/18 - 18:41:03,Motorola,172.0,5.5
263,16.0,"Móvil - Alcatel POP 4S, 5.5 pulgadas, Dual Sim, red 4G, 16 GB, Dorado",https://tiendas.mediamarkt.es/p/movil-alcatel-pop-4s-5-5-pulgadas-du-dorado-1345133#specifications,08/25/18 - 18:41:05,Alcatel,159.0,5.5
264,32.0,"Móvil - Alcatel Shine Lite, Pantalla 5"" HD, 4G, 4 Núcleos, 16GB, Cámara 13 MP, Blanco",https://tiendas.mediamarkt.es/p/movil-alcatel-shine-lite-pantalla-5-blanco-1345129#specifications,08/25/18 - 18:41:06,Alcatel,150.0,5.5
265,16.0,"Móvil - Alcatel POP 4S, 5.5 pulgadas, Dual Sim, red 4G, 16 GB, Gris",https://tiendas.mediamarkt.es/p/movil-alcatel-pop-4s-5-5-pulgadas-du-gris-1345132#specifications,08/25/18 - 18:41:08,Alcatel,159.0,5.5
266,32.0,"Móvil - Apple iPhone 6S de 32GB con red 4G, pantalla retina HD de 4,7"" y cámara 12 mp, gris espacial",https://tiendas.mediamarkt.es/p/movil-apple-iphone-6s-de-32gb-con-red-1340263#specifications,08/25/18 - 18:41:09,Apple,529.0,4.7
267,32.0,"Móvil - ZTE Axon 7 Mini, 32GB, 4G, Pantalla 5.2"" FHD, Dual Sim, 8N, Plateado",https://tiendas.mediamarkt.es/p/movil-zte-axon-7-mini-32gb-4g-panta-1345446#specifications,08/25/18 - 18:41:11,ZTE,274.0,5.5
268,128.0,"Móvil - iPhone 7 PLUS de 128GB, pantalla Retina HD de 5.5"" y doble cámara, negro brillante",https://tiendas.mediamarkt.es/p/apple-iphone-7-plus-128gb-jet-black-retina-hd-1339985#specifications,08/25/18 - 18:41:12,Apple,850.0,5.5
269,16.0,"Móvil - Alcatel POP 4 Plus, Dual Sim, 5.5 pulgadas, HD IPS, 16 GB, 4G, Plata",https://tiendas.mediamarkt.es/p/movil-alcatel-pop-4-plus-dual-sim-5-plata-1331489#specifications,08/25/18 - 18:41:14,Alcatel,119.0,5.5
270,16.0,"Móvil - Zopo Flash E, 16GB, red 4G, Dual SIM, pantalla HD 5.3"", 13.2 mpx, negro",https://tiendas.mediamarkt.es/p/movil-zopo-flash-e-16gb-red-4g-dual-1295262#specifications,08/25/18 - 18:41:15,Zopo,189.0,5.3
271,16.0,"Móvil - Blu Studio J8, 5.5"" HD, 2GB RAM, 16GB, 8+5 MPx, Negro",https://tiendas.mediamarkt.es/p/movil-blu-studio-j8-5.5-hd-2gb-ram-16gb-1389258#specifications,08/25/18 - 18:41:16,Blu,139.0,5.5
272,64.0,"Móvil - LG G7 ThinQ, 6.1"", Pantalla súper brillante LCD QHD+, Qualcomm Snapdragon 845 Octa-Core, 4 GB, 64 GB, 16 MP, 8 MP, Gris",https://tiendas.mediamarkt.es/p/movil-lg-g7-thinq-qhd-plus-1418330#specifications,08/25/18 - 18:41:18,LG,799.0,6.1
273,16.0,"Móvil - Wiko Lenny 4, 5"", 2 GB RAM, 16 GB, Dual Sim, Dorado",https://tiendas.mediamarkt.es/p/movil-wiko-lenny-4-5-2-gb-ram-16-gb-1407896#specifications,08/25/18 - 18:41:19,Wiko,89.9,5.5
274,16.0,"Móvil - Wiko Lenny 4, 5"", 2 GB RAM, 16 GB, Dual Sim, Rosa",https://tiendas.mediamarkt.es/p/movil-wiko-lenny-4-5-2-gb-ram-16-gb-dual-1407897#specifications,08/25/18 - 18:41:20,Wiko,89.9,5.5
275,16.0,"Móvil - Alcatel 3V, Pantalla 6"" 2K, Quad Core, RAM 2 GB, Capacidad 16 GB, Camara Dual 16 MP + 2 MP, Dorado",https://tiendas.mediamarkt.es/p/movil-alcatel-3v-pantalla-6-2k-ram2gb-16gb-dorado-1418110#specifications,08/25/18 - 18:41:21,Alcatel,179.99,6.0
